<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,, 
,  July,153.94475295847417,213.89202032729725,182.02302521708648,96.53352865740668,171.1272075777701,127.89226683499417,164.47238301699466,174.76061627587387,129.79521207866023,112.80683227665969,187.0924317105089,136.60346922028168,123.60235767679531,137.25508782871262,106.2437367086678
,August,149.868424591307,214.78256601155763,178.8225630561582,94.3687109128686,170.6301011536787,113.15059602772614,164.57255750063806,167.3197167421978,125.30939170179013,97.48322884840485,172.13698004448298,130.7275799525665,107.39750178644567,127.66017197417672,112.6656610482452
,September,140.40874637602684,204.48049473882213,168.37769819618686,94.60986467504213,150.71847211737605,108.97378392464685,167.2800296581268,167.8747125884665,125.4524457339215,108.74397992822298,210.22134725337486,131.09063871640902,117.32313590135313,129.06839395835493,109.21247213481232
,October,147.56766432685944,191.13661422820547,167.05417840623474,96.32598397995926,163.95902953238314,99.78096269714489,171.36044610674873,143.90236070488137,126.89954315976547,67.16257351542056,200.73447862575392,122.003098322706,82.50891412370447,118.39477667068205,115.80612149818934
,November,152.11746446491856,196.17251456913093,171.89791738747033,100.60202137152298,158.36775081106126,107.18412588332619,176.09544272845946,186.08439235608867,133.10068693215572,112.76119438943522,179.32899251899394,153.43362345553638,125.83480693814857,137.08781932150677,102.33960971662775
,December,156.194290109638,224.03784832588568,185.23360832704088,115.98230664805816,167.01688075377615,87.20496653190541,175.34651789898004,181.70216559330572,140.9444946909649,112.54073627093643,168.41181523360416,148.71799608069617,124.10426766200955,144.1781859565711,92.0458664893136

,2021 (b) January,152.84610414337018,223.99421126560722,179.54025256088124,121.93699150362922,171.9759529169951,139.67137640148437,178.23769805141427,168.15820996820753,144.61620392660984,108.11114563472226,177.56980656946925,151.1377169746245,120.91576584805044,144.722320543546,108.69260186245666
,    February,170.09536792931505,225.10755550131125,194.6791968378706,136.57448865114455,170.9804921184749,134.46454944954021,188.35723233573083,191.70352259583942,155.51406145886628,115.24300623282737,198.04103955026025,152.33700094883173,128.0213258708019,154.59775716367344,112.49847912526702
,               March,164.5726123436724,255.06207394902393,200.08693728889068,151.8632475206493,180.49304883849936,120.29685572233636,189.9445621060243,209.24651913833347,166.13650124934296,88.68914353585805,259.9726438433142,166.45107901451226,107.51582903943583,153.2145242608181,103.10105613557651
,               April,165.58128685094636,239.33600590386138,199.8623866248355,147.09548930489706,182.8770231153065,138.06780802734065,203.10556728897384,206.57568344002166,165.10305190420416,84.7090600327082,210.73054892445558,159.8574438791638,102.84255552903556,150.55452220689787,86.48889655225244
,   May,181.3068787815344,217.90894078439334,198.76116056243302,153.37302562599154,184.9408789302586,164.10580383736408,217.28116907651076,207.400850670817,171.6621242936986,145.91262481836355,244.96056335695707,170.55731149585472,158.29194308235427,172.60803874301925,87.5369812233788
,   June,182.75349396261421,242.273028955687,212.4040699366759,160.0600245619784,183.83395105003345,135.2526564284807,208.79988142933277,187.75907193158895,182.6982192715141,135.54885607334725,228.33260704211915,174.60580262961696,151.3595710008767,178.903762286689,88.1982570514873
,   July,218.96824197550703,256.4438466710761,242.18342475921756,166.34931668719247,200.61364932681767,191.60814884428135,212.25222554850518,178.42352201922083,185.9678551901167,103.87969908390463,301.320785778194,186.74743740812664,129.99623463150851,177.3094858090935,94.03415641432309
,  August,197.55193194158767,268.9184555983425,237.40445642957795,167.71833819549545,202.63143705200156,172.36809801003355,220.7532027375682,227.58094155589535,180.48348546661825,113.28041227115992,232.96716217327722,168.05849688944355,130.89418688383276,174.81014523810722,90.72098224238029
,  September,206.25847452746333,277.4455706679749,247.29731358831154,183.5818124089572,215.54905560589629,259.20538864251677,218.30403896254734,177.68551832887113,195.08207553189217,97.90703831569047,320.1349453476993,168.65153608362928,121.16433578517896,176.81073960908722,92.33647850301942
,  October,205.52323826820765,258.43836417674635,233.3223562275752,202.61669412899303,217.86219975296302,189.69560556480354,199.37713522102152,242.57794264550583,205.18011853014937,63.29134846521581,204.53555356273628,196.61268103137743,84.73112910801986,163.10286985179212,116.55937637413842
,  November,172.7678172668299,278.454282301721,218.93723496497256,177.3320876279067,211.0219326460622,212.56841623123356,217.86568908488672,250.51749923534385,193.80420815224534,117.37701267318555,419.7695675954169,194.05420655640523,150.31267823968122,185.1501943348941,93.78252316475742
,  December,157.02882767377181,312.45008406114135,222.51349917521625,193.51338251802696,204.8537939519874,198.77883060302466,213.8749628529194,194.9499085758727,188.19073816174551,114.40122191128255,183.671373646603,186.16473411436658,130.49382156450136,177.48947278819125,95.54877935928567

,2022 (b) January,160.849078907043,277.743251321548,201.57321544254998,208.3685839279877,219.01609402770845,235.38779043029473,216.35666410794389,226.49043944092278,204.42574823246838,109.7717299942504,226.83826528117976,203.47583091455616,132.71081871947598,184.18385800126688,88.66000660227446
,    February,177.8995476498121,253.28558144226608,206.1014734186871,229.3833315702463,204.77183744609738,400.83762452611603,233.34307908090247,249.8176113481165,214.0553578614393,97.7854747699317,136.7433255032736,209.94181442712187,120.15891544570245,185.60587786849092,101.06327998263205
,               March,227.92343447455661,305.7502992721895,255.12004049101196,367.1035335422097,245.4473898993934,266.697360666237,248.81183313007716,228.7663523259641,281.1006685766036,113.39597944581135,338.50619691778314,235.38817104423862,142.02036128722693,232.6133381097449,87.23757630819641
,               April,274.7094093366979,356.781338250111,300.42502998112275,461.0549269756992,362.99025610615854,332.46975595585724,371.59893272265134,348.73982436768796,381.81324880162975,126.77626902455131,236.96133998417068,337.763999928872,157.89152653589335,303.0798919176948,77.66416550987256
,   May,300.502721580964,410.5804939533315,336.0112018357733,529.2287689595736,394.9529574725895,323.42770182870964,424.42238991116244,390.67063057259395,430.00683097520925,277.7622826162878,1046.8502562074934,368.7111549355074,317.3486061888723,393.6707123952655,72.40639455335031
,   June,287.4504705744991,422.8782360510692,341.68237722352154,571.3827431973942,421.19029259851237,522.4587923991597,431.8902614162565,423.46964220848514,425.4716857793852,166.76305693407028,439.5313672811864,354.7551064057382,203.22945864757355,342.0721782701063,84.1642799455608
,   July,249.87868282824545,589.5597980781471,325.8798001098181,531.2586991546954,369.11458693310095,536.0213105083392,431.57870764516616,357.3288113483279,426.0584960889741,244.67527569461814,444.1025401184476,426.41435046125264,283.76045623486414,377.98120568615633,91.87233852749756
,  August,264.43479294928795,525.8556481291517,329.24052160303114,512.8826581121374,427.9333638423328,549.9519431039579,439.6090958885654,346.0390571368981,408.54235289499275,215.56767480212798,229.95433757900264,361.41242244197326,249.39930292802353,363.13002624014314,82.83756778594626
,  September,297.68443405870926,489.21992649501783,352.25482289647795,489.6911275227052,415.159223774636,583.740655581213,432.60921610073973,347.51524752324553,433.86278103605684,201.21350399731713,282.86459570423574,381.36103283873604,241.53720852741918,358.6422828150909,91.85592462011573
,  October,281.14263833397376,449.7561286094078,332.1975529075326,530.9543721294808,359.1308769520614,459.18662239059444,454.0076802415271,535.7416106173166,425.97599103115675,118.71295230568627,456.42454475970686,315.67835816393915,149.3542474892203,326.781688099807,82.25402671472307
,  November,290.75134708506823,453.4282692523425,341.1438885720264,480.8003582602347,334.82407767239255,637.546439638749,409.58948989020786,527.885192560254,406.9959422445093,187.0675737020722,162.05078878084137,391.91545439912534,219.95737508401803,353.05621202675945,89.3713530443154
,  December,282.6260022897414,499.8160024335538,353.63432295745497,437.18128649289156,336.9078836115729,613.2723109501457,422.8942539275624,353.8023145505935,394.10616932074316,154.06542288860288,284.864572424113,334.54105380979604,189.2362944266763,336.5277281203049,83.22613059221855

,2023 (b) January,297.3605226952252,328.81491411547046,310.9980257547702,439.7628144266269,294.9131059638543,363.357640410881,396.3100297872152,191.93799837961035,367.29123619626836,70.9500417238791,289.3129866038898,381.3139569079848,97.25976418921233,259.42512610190516,87.58084093005894
,    February,299.8839417146395,467.6365358380798,354.95332397860227,431.10413027164685,335.50590810674333,493.8980700423282,382.61316411644043,451.92234069201817,371.92370467596874,113.25309978492743,279.78536140758035,381.70137214520054,142.62673189816502,287.4123155798326,108.32647728868695
,               March,306.8866376459913,516.4931436256013,376.22273679220297,395.038475423125,367.60758110298053,1230.6347034227729,451.0586479158729,477.80718811721425,398.8015498500753,115.79402354276193,422.3441486555368,318.8837417032318,145.85919527555518,316.2879162552221,81.83238825577162
,               April,283.3356186101949,658.0749243474831,407.68926284640133,366.73286890692754,305.23444710395836,267.1367855992552,355.7130951454696,482.2500314657648,340.87817586354845,93.79543990626617,460.1047609504129,364.67082519104605,122.9141531489635,286.18567144990135,75.98525885449999
,   May,280.93021511292454,461.5938946917969,321.40847042206207,306.80799671008054,307.88541685618907,276.5431436818896,351.3268851084272,397.6077696789447,310.357784010193,209.37492125030485,258.48548437060407,337.4856939908615,239.77185956484624,300.56004609881904,76.92504648942625
,   June,262.0029153387247,438.5965704715657,314.8310052921465,300.52468705411724,284.55021218564366,269.64745525156644,333.3888439351233,366.05793155554176,276.059910884175,129.22925302829034,201.55680016836072,277.68618264478624,154.71863131008507,247.96823884044787,95.80888284726184
,   July,281.13070928380114,421.64187518437546,324.2420027267215,295.54957611916006,284.13881482539875,295.06564660543523,334.47093888707803,467.228766015091,289.82239046502633,154.71037290412187,126.43657388521035,307.9053376952876,177.97617191068034,266.88478725827576,91.47969274248037
,  August,299.57124987525384,420.950203490141,342.2363694780441,334.77121248327273,283.8233072047416,316.12440337821647,339.03500233722434,459.69213519179107,301.84625413657733,194.4873239859415,162.93838740781302,270.7218036354728,207.29149857728376,281.4158883383062,78.59084712977943
